año;rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut;ciiu4;id_ciiu4;ciiu6;id_ciiu6;latitud;longitud;id_comuna;comuna;provincia;id_region;region;rubro_vu;entrada_salida;cantidad_toneladas;tratamiento_nivel_3;id_tratamiento;tratamiento_nivel_1;id_tratamiento_nivel_1;capitulo_ler;subcapitulo_ler;nombre_ler;id_vu_trazabilidad;nombre_establecimiento_trazabilidad;razon_social_trazabilidad;rut_razon_social_trazabilidad;comuna_trazabilidad;id_comuna_trazabilidad;region_trazabilidad
2023;I.R.A.R;5474989;ABUPLAST SPA;ABUPLAST SPA;76522291-5;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-33,41694404;-70,68240707;13128;Renca;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;853,3722;Reciclaje de plásticos;18;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;5474989;ABUPLAST SPA;ABUPLAST SPA;76522291-5;Renca;13128;Metropolitana de Santiago
2023;I.R.A.R;5474989;ABUPLAST SPA;ABUPLAST SPA;76522291-5;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-33,41694404;-70,68240707;13128;Renca;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;1009,818;Pretratamiento de plásticos;45;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;5474989;ABUPLAST SPA;ABUPLAST SPA;76522291-5;Renca;13128;Metropolitana de Santiago
2023;I.R.A.R;5474989;ABUPLAST SPA;ABUPLAST SPA;76522291-5;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-33,41694404;-70,68240707;13128;Renca;Santiago;13;Metropolitana de Santiago;Gestores de residuos;2;36,64;Pretratamiento;48;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;3921963;ESTACIÓN DE TRANSFERENCIA QUILICURA;K D M  S.A.;96754450-7;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;5474989;ABUPLAST SPA;ABUPLAST SPA;76522291-5;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-33,41694404;-70,68240707;13128;Renca;Santiago;13;Metropolitana de Santiago;Gestores de residuos;2;175,1;Residuos municipales asimilables a domiciliarios;56;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;3921963;ESTACIÓN DE TRANSFERENCIA QUILICURA;K D M  S.A.;96754450-7;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-34,276618;-71,0687625;6104;Coltauco;Cachapoal;6;Libertador Gral. Bernardo O'Higgins;Comercio mayorista;1;0,68;Recolección;5;Recolección;5;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;02 01 99 | Residuos no especificados en otra categoría;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Coltauco;6104;Libertador Gral. Bernardo O'Higgins
2023;I.R.A.R;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-34,276618;-71,0687625;6104;Coltauco;Cachapoal;6;Libertador Gral. Bernardo O'Higgins;Comercio mayorista;1;1,5;Recolección;5;Recolección;5;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;02 02 99 | Residuos no especificados en otra categoría;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Coltauco;6104;Libertador Gral. Bernardo O'Higgins
2023;I.R.A.R;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-34,276618;-71,0687625;6104;Coltauco;Cachapoal;6;Libertador Gral. Bernardo O'Higgins;Comercio mayorista;1;2,878;Pretratamiento de plásticos;45;Recolección;5;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;02 01 99 | Residuos no especificados en otra categoría;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Coltauco;6104;Libertador Gral. Bernardo O'Higgins
2023;I.R.A.R;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-34,276618;-71,0687625;6104;Coltauco;Cachapoal;6;Libertador Gral. Bernardo O'Higgins;Comercio mayorista;1;4,07;Pretratamiento de plásticos;45;Recolección;5;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;02 01 04 | Residuos de plásticos (excepto embalajes);5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Coltauco;6104;Libertador Gral. Bernardo O'Higgins
2023;I.R.A.R;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-34,276618;-71,0687625;6104;Coltauco;Cachapoal;6;Libertador Gral. Bernardo O'Higgins;Comercio mayorista;1;4,772;Pretratamiento de Metales;44;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 40 | Metales;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Coltauco;6104;Libertador Gral. Bernardo O'Higgins
2023;I.R.A.R;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-34,276618;-71,0687625;6104;Coltauco;Cachapoal;6;Libertador Gral. Bernardo O'Higgins;Comercio mayorista;1;11,66;Pretratamiento de plásticos;45;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Coltauco;6104;Libertador Gral. Bernardo O'Higgins
2023;I.R.A.R;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-34,276618;-71,0687625;6104;Coltauco;Cachapoal;6;Libertador Gral. Bernardo O'Higgins;Comercio mayorista;1;22,91;Pretratamiento de papel, cartón y productos de papel;36;Recolección;5;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;02 01 99 | Residuos no especificados en otra categoría;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Coltauco;6104;Libertador Gral. Bernardo O'Higgins
2023;I.R.A.R;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-34,276618;-71,0687625;6104;Coltauco;Cachapoal;6;Libertador Gral. Bernardo O'Higgins;Comercio mayorista;1;155,06;Pretratamiento de papel, cartón y productos de papel;36;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 01 | Papel y cartón;5482243;ACOPIO DE MATERIALES PARA RECICLAJES;RECICLAJES PARRAGUEZ  SPA;76374359-4;Coltauco;6104;Libertador Gral. Bernardo O'Higgins
2023;I.R.A.R;5493782;Ana maria rojas;ANA MARIA ROJAS URIBE;8103105-3;Recuperación de materiales;E3830;Recuperación y reciclamiento de desperdicios y desechos metálicos;E383001;-40,5830995;-73,1719488;10301;Osorno;Osorno;10;Los Lagos;Gestores de residuos;1;0,525;Reciclaje de metales;20;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 40 | Metales;5493782;Ana maria rojas;ANA MARIA ROJAS URIBE;8103105-3;Osorno;10301;Los Lagos
2023;I.R.A.R;5482621;Ana Medina Torres;ANA ESTER MEDINA TORRES;12036109-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-36,63151008;-72,07880665;16101;Chillán;Diguillín;16;Ñuble;Comercio mayorista;1;168,21;Pretratamiento de Metales;44;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 40 | Metales;5482621;Ana Medina Torres;ANA ESTER MEDINA TORRES;12036109-0;Chillán;8401;Ñuble
2023;I.R.A.R;5491079;AXIS LOGISTICA DE CHILE;AXIS LOGISTICA DE CHILE S.A;99563380-9;Transporte de carga por carretera;H4923;Transporte de carga por carretera;H492300;-33,32111463;-70,71069832;13301;Colina;Chacabuco;13;Metropolitana de Santiago;Otras actividades;1;115,066;Pretratamiento de aceites y grasas comestibles;40;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 25 | Aceites y grasas comestibles;5491079;AXIS LOGISTICA DE CHILE;AXIS LOGISTICA DE CHILE S.A;99563380-9;Colina;13301;Metropolitana de Santiago
2023;I.R.A.R;5491079;AXIS LOGISTICA DE CHILE;AXIS LOGISTICA DE CHILE S.A;99563380-9;Transporte de carga por carretera;H4923;Transporte de carga por carretera;H492300;-33,32111463;-70,71069832;13301;Colina;Chacabuco;13;Metropolitana de Santiago;Otras actividades;2;43,823;Reciclaje de aceites y grasas comestibles;80;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 25 | Aceites y grasas comestibles;;;;-;;;
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;0,105;Pretratamiento de plásticos;45;Recolección;5;17 | Residuos de la construcción y demolición;02 | Madera, vidrio y plástico;17 02 10 | Plástico HDPE (polietileno de alta densidad);319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;0,49;Pretratamiento de plásticos;45;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 38 | Madera distinta de la especificada en el código 20 01 37;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;0,518;Pretratamiento de plásticos;45;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 01 | Papel y cartón;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;0,886;Pretratamiento de plásticos;45;Recolección;5;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);15 01 02 | Envases de plástico;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;1,1;Pretratamiento de madera que no contiene sustancias peligrosas;43;Recolección;5;17 | Residuos de la construcción y demolición;02 | Madera, vidrio y plástico;17 02 01 | Madera libre de impregnación o pinturas;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;1,503;Pretratamiento de madera que no contiene sustancias peligrosas;43;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 38 | Madera distinta de la especificada en el código 20 01 37;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;2,2525;Reciclaje de plásticos;18;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;2,325;Reciclaje de plásticos;18;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 01 | Papel y cartón;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;5,56;Reciclaje de metales;20;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 40 | Metales;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;8,095;Pretratamiento de plásticos;45;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;50,8933;Pretratamiento de papel, cartón y productos de papel;36;Recolección;5;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 01 | Papel y cartón;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,34821161;-70,71108458;13125;Quilicura;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;66,979;Reciclaje de papel, cartón y productos de papel;16;Valorización;2;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);15 01 01 | Envases de papel y cartón;319510;BASE ECOCLEAN QUILICURA;ECOCLEAN S A;96756460-5;Quilicura;13125;Metropolitana de Santiago
